domain,organization,category,primary_url,backup_urls,update_frequency,auth_note,access_method,historical_coverage,stability_note,failure_handling,enabled,source_level,local_sample_path,file_hash_sha256,file_size_bytes,declared_source_level,purpose_note
stats.gov.cn,国家统计局,NATIONAL_YEARBOOK,https://www.stats.gov.cn/sj/ndsj/,"[""https://data.stats.gov.cn/""]",YEARLY,公开；无需授权,OCR（JPG 扫描）,"2001-至今（多为 JPG 扫描）",URL 格式稳定；ndsj/*.jpg 链接偶发失效,重试 3 次 → archive.org 备份 → 人工上传入口,TRUE,S0,spikes/00-national-yearbook-table/data/c0309.jpg,9576529a881b83beac4718594f3a26d2e1949947a65c7e375b4a5f1c6a69688e,550889,S0,代表性中文扫描样本（国家统计局 NBS 年鉴 2001 表 c0309）
stats.gov.cn,国家统计局,NATIONAL_BULLETIN,https://www.stats.gov.cn/sj/zxfb/,"[""https://data.stats.gov.cn/""]",YEARLY,公开；无需授权,HTML,"zxfb/ 2010-至今",URL 格式稳定；偶发 503,重试 3 次 → archive.org 备份 → 人工上传入口,TRUE,S0,spikes/01-national-yearbook/sample.html,a7e4029df707918a552ad2580e8088a945bfe43ec3a2447742553258d0f1f8eb,180165,S0,代表性中文 HTML 表格（国家统计局月度发布；2026-08-27 用户裁定 (a) 更新哈希——认定源站换版，per 回执 `510` live-probe 实测 + 回执 `538`）
tjj.hubei.gov.cn,湖北省统计局,PROVINCIAL_BULLETIN,https://tjj.hubei.gov.cn/tjsj/sjkscx/tjyb/,,"MONTHLY","公开；无需授权；直链 .xlsx 可下载（2026-08-26 JS-shell tech-blocked；Cursor 341 暂缓；禁 headless）",EXCEL,"月度统计报告至少近 1 年可下；年鉴合订本更早",月度报告 URL 规律稳定；文件名带 P020… 时间戳,"curl 直下（**禁止 headless browser**，被 ERR_CONNECTION_RESET 拒绝）；当前首页 71B JS 重定向，等用户提供稳定直链或另指",FALSE,S0,spikes/02-provincial-yearbook/hubei_2026_06.xlsx,c5cf5abeb4fdf97af52567f0640470d631bc9ac329dcc98f14e5d40bf6a5cac7,11261,S0,代表性省级月度 xlsx（湖北统计局；2026-08-26 暂缓）
sz.gov.cn,深圳市人民政府,MUNICIPAL_BULLETIN,https://www.sz.gov.cn/zfgb/,,"YEARLY","公开；无需授权（2026-08-26 HTTPS SSL BAD_ecPOINT 暂缓；Cursor 341 暂缓 live；改走 local sample；禁 HTTP pin）",HTML（散文形式 + 嵌入表格）,"2020-至今",URL 格式稳定；按年份/gb 编号分目录,"重试 3 次 → SSL BAD_ecPOINT transport error（服务端问题，与 client CA 无关）→ 暂缓 live → --from-local-sample 抽取本地样本 → 仍 is_demo=true；禁降级 HTTP pin",TRUE,S0,spikes/03-municipal-bulletin/sample.html,d5e2c73196b43cecc8efa20e174d30bf78c382e21a1cda956f0637aeb9022d29,62831,S0,代表性市级公报（深圳市政府；2026-08-26 live SSL 暂缓,改走 --from-local-sample）
archive.org,United States Census Bureau / Bureau of Statistics,SCANNED_PDF_UPLOAD,https://archive.org/details/statisticalabst00unit,"[""https://archive.org/metadata/statisticalabst00unit""]",AD_HOC,公开；public domain (17 U.S.C. 105),OCR,"1909 vintage；用作 OCR 管线验证",URL 格式稳定；archive.org 偶发 503,重试 3 次 → 备用镜像,TRUE,S3,spikes/04-scanned-pdf/statistical_abstract_foreign_countries_1909.pdf,6fa36e6853dbe39c026febbb66f9abcfcc08c8e7e38bcec048f6becc3ce203ae,32182398,S0,"非代表性：1909 美国统计摘要不能代表中国经济治理平台扫描样本；仅用作 OCR 管线压力测试（per Stage 0 R4 用户决策）"
wb.flk.npc.gov.cn,全国人大常委会国家法律法规数据库,SCANNED_PDF_RESEARCH,https://wb.flk.npc.gov.cn/dfxfg/PDF/d31411b562fc4226a7465f1c875afe67.pdf,"[""https://flk.npc.gov.cn/""]",AD_HOC,公开；无需登录；法规正文适用《著作权法》第五条排除条款,OCR（四页灰度扫描 + 嵌入旧 OCR 文本层）,"陕西省财政预算管理条例；PDF 页 1 同时含上一法规尾页",官方 PDF 直链由用户下载；CC 未伪造 HTTP 200,验证下载来源元数据与 SHA-256；网络复取失败则等待人工上传且不绕过 TLS,TRUE,S0,spikes/04-scanned-pdf/data/shaanxi_fiscal_regulation_flk.pdf,f34b2e57ae08620cb6a6afb98b3983d805d53e3bae78b969795987a7ebe71488,1007943,S0,"中文 OCR 压力研究样本；U-1 接受、U-2 以嵌入层作对照、U-3 非 Stage 0 验收项；数值单元指标不适用，不自动改变 Stage 0 verdict"
stats.gov.cn,国家统计局江苏分省,PROVINCIAL_BULLETIN,https://www.stats.gov.cn/sj/zxfb/,"[""https://data.stats.gov.cn/""]",YEARLY,公开；无需授权,HTML,zxfb/2010-至今,URL 格式稳定；江苏 reference 12 处含 tj.jiangsu.gov.cn 江苏局 + 江苏总队,重试 3 次 → archive.org 备份 → tjj.jiangsu.gov.cn 备用,TRUE,S0,data/seed_archives/jiangsu_stats_gov_cn_zxfb_20260829.html,450e7f723795241c58c34c3c8f18147cf289db04c3fa2bbbdd7c0db564f49279,73048,S0,代表性江苏分省 HTML 样本（国家统计局"最新发布"列表；含 tj.jiangsu.gov.cn 江苏局 reference；执行端自取预 vetted 公开源走完整 e2e 流水线 per docs/52 B 路 spec；2026-08-29 治理铁律；605 首批 O1 §5.2.x 江苏样本；2026-08-29）
tjj.suzhou.gov.cn,苏州市统计局,MUNICIPAL_BULLETIN,https://tjj.suzhou.gov.cn/,"[""http://www.suzhou.gov.cn/""]",DAILY,公开；无需授权,HTML,首页/统计公报/统计数据,江苏地市政府门户；606 §0.1 候选清单 #1；用户授权 #1 后自取,tjj.nanjing.gov.cn / tjj.wuxi.gov.cn 备用,TRUE,S0,data/seed_archives/jiangsu_suzhou_tjj_gov_cn_20260829.html,df3d8246679040968a747762d8c11eccf7b63647cadfc2c50719322badf7c7fd,39324,S0,代表性江苏地市 HTML 样本（苏州市统计局首页；执行端自取预 vetted 政府/统计局公开源走完整 e2e 流水线 per docs/52 B 路 spec；2026-08-29 治理铁律；606 首批地市样本 O1 §5.2.x 接续 605 首批省样本；2026-08-29）
tjj.nanjing.gov.cn,南京市统计局,MUNICIPAL_BULLETIN,https://tjj.nanjing.gov.cn/,["http://www.nanjing.gov.cn/"],DAILY,公开；无需授权,HTML,首页/统计公报/统计数据,江苏地市政府门户；608 §0.1 候选清单 #1 per 606 §A 备选清单 + 607 audit §10 候选 #2 verbatim；用户授权 #1 仍生效；其余江苏地市备用,tjj.suzhou.gov.cn / tjj.wuxi.gov.cn / tjj.changzhou.gov.cn / tjj.nantong.gov.cn / tjj.xuzhou.gov.cn 备用,TRUE,S0,data/seed_archives/jiangsu_nanjing_tjj_gov_cn_20260829.html,37ed4c223b16397f66781744987dafa6ab975fc0ceb7006a028b3edb62ce2712,40065,S0,代表性江苏地市 HTML 样本（南京市统计局首页；执行端自取预 vetted 政府/统计局公开源走完整 e2e 流水线 per docs/52 B 路 spec；2026-08-29 治理铁律；608 江苏样本第三刀（地市样本第二刀）O1 §5.2.x 接续 606 江苏地市首批样本；2026-08-29）
tjj.changzhou.gov.cn,常州市统计局,MUNICIPAL_BULLETIN,https://tjj.changzhou.gov.cn/,["http://www.changzhou.gov.cn/"],DAILY,公开；无需授权,HTML,首页/统计公报/统计数据,江苏地市政府门户；610 §0.1 候选清单 per 608 §0.1 备选清单 #3 + 609 audit §10 推荐 #2 verbatim；用户授权 #1 仍生效；其余江苏地市备用,其它江苏地市备用,TRUE,S0,data/seed_archives/jiangsu_changzhou_tjj_gov_cn_20260829.html,0ecf3d2ed76407c4bf50a5cba8552af78ca2e22fcc5ab39966b1212aac6979f6,50868,S0,代表性江苏地市 HTML 样本（常州市统计局首页；执行端自取预 vetted 政府/统计局公开源走完整 e2e 流水线 per docs/52 B 路 spec；2026-08-29 治理铁律；610 江苏样本第四刀（地市样本第三刀）O1 §5.2.x 接续 608 江苏样本地市第二刀 + 606 江苏地市首批样本 + 605 江苏首批样本；2026-08-29）
